,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
12734,108,104,8.667,5.91147,0,0,0,2,light purple
12735,81,77,12.0,3.33759,0,2,0,0,pink
12736,102,82,25.333,3.86188,3,3,0,2,light purple
12737,141,92,125.0,3.71194,2,28,2,5,v.dark purple
12738,36,35,51.0,5.64296,0,2,0,0,pink
12739,240,208,36.667,3.75791,0,10,0,1,v.light purple
12740,36,35,28.667,3.66733,0,1,0,0,pink
12741,120,106,90.667,3.93295,0,9,0,2,light purple
12742,153,125,16.667,4.53335,2,0,0,2,light purple
12743,120,109,18.667,3.30703,0,2,0,2,light purple
12744,23,23,5.333,4.16402,10,0,0,0,pink
12745,120,64,41.333,4.37801,0,1,0,2,light purple
12746,95,84,24.667,5.03478,0,1,0,2,light purple
12747,156,78,11.333,3.57644,0,0,0,2,light purple
12748,71,69,24.0,3.60518,1,0,0,0,pink
12749,36,33,16.667,2.35712,0,4,0,0,pink
12750,26,20,53.333,3.71846,0,0,0,0,pink
12751,30,29,16.667,4.87358,6,0,0,0,pink
12752,60,55,46.667,3.9227,0,3,1,0,pink
12753,73,62,42.0,4.14357,3,8,0,0,pink
12754,20,10,28.0,6.99396,0,4,0,0,pink
12755,194,148,74.0,3.41139,0,5,0,1,v.light purple
12756,46,27,165.833,3.69869,0,14,0,5,v.dark purple
12757,144,131,60.5,3.58293,0,7,1,2,light purple
12758,108,105,10.0,5.83644,0,1,0,2,light purple
12759,118,65,47.333,3.26612,0,7,0,2,light purple
12760,36,35,8.0,4.64234,0,0,0,0,pink
12761,50,49,9.333,4.37226,1,0,0,0,pink
12762,312,301,22.0,3.45333,0,0,0,4,dark purple
12763,24,23,14.0,4.9709,0,0,0,0,pink
12764,111,103,26.0,3.89248,0,0,0,2,light purple
12765,215,186,103.333,3.98737,0,21,1,1,v.light purple
12766,158,143,40.667,5.25862,0,0,0,1,v.light purple
12767,145,141,70.667,3.7532,0,9,0,1,v.light purple
12768,36,30,3.333,2.82751,0,0,0,0,pink
12769,169,141,86.667,3.2578,0,21,0,1,v.light purple
12770,83,71,66.667,10.14797,0,3,0,2,light purple
12771,120,118,10.0,4.5408,0,0,0,2,light purple
12772,161,130,71.667,3.57379,0,11,0,1,v.light purple
12773,122,64,34.667,3.9051,0,1,0,2,light purple
12774,150,98,55.833,4.26975,14,0,0,2,light purple
12775,60,50,24.667,3.83679,0,0,0,0,pink
12776,30,18,2.0,4.89702,0,0,0,0,pink
